model	evaluation	test_dataset	target_id	target_index	n	spearman	pearson
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	HISTONE_H3_S28	46	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	EIF4EBP1_T37_T46	49	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	CTNND1_T310	55	1143	0.7413836121129199	0.805748442167028
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	PDPK1_S241	56	1143	0.5675121486533268	0.5957559819304996
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	MAP2K4_S257	57	1143	0.5729747260705579	0.6091069511539269
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	BTK_Y551	58	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	H2AFX_S139	59	1143		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256403_hela_2024	NDRG1_T346	60	1143	0.630485062594448	0.7576483840510869
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	RPS6_pSitePending	0	30895	0.13623638833825513	0.051063298147373946
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	MAPK14_pSitePending	2	30895	0.12482600696768892	0.09932747333404257
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	AKT_pSitePending	3	30895	0.13623706669305552	0.1408555681163838
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	p-Rb	37	30895	0.1712896288297163	0.19423212763401132
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	p-p65	45	30895	0.12321000542461209	0.13400886647130075
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	HISTONE_H3_S28	46	30895	-0.004749718826270114	-0.002206891945990341
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	EIF4EBP1_T37_T46	49	30895	0.041424182437831095	0.041993860592061394
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	CTNND1_T310	55	30895	0.15847869167444834	0.15358845779909935
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	PDPK1_S241	56	30895	0.09246559509949043	0.0976699037736394
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	MAP2K4_S257	57	30895		
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	BTK_Y551	58	30895	0.05989846604863657	0.05746513536734811
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	H2AFX_S139	59	30895	0.11208084412400757	0.08072964762283946
SCP682-SC12-protein-residual	external_reconstruction	signal_seq_gse256404_pdo_caf_2024	NDRG1_T346	60	30895	0.09510649442770393	0.10100932760078604
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	STAT3_Y705	1	1053	0.443151227208485	0.3587972607981902
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	FOS_S32	6	1177	0.08126796292889238	0.08009384531505122
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	MAPK1_MAPK3_T202_Y204	13	1177	0.1537839403745425	0.16725923705308163
SCP682-SC12-protein-residual	external_reconstruction	vivo_seq_th17_2025	RELA_S536	17	1053	0.26700676839680515	0.19005644313525188
